"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Jamaica","JAM","Net migration","SM.POP.NETM","","","-147722","","","","","-168398","","","","","-103176","","","","","-112462","","","","","-80344","","","","","-158694","","","","","-109999","","","","","-90002","","","","","-91999","","","","","-94999","","","","","-97000","","","","",
"Jordan","JOR","Net migration","SM.POP.NETM","","","35715","","","","","254352","","","","","-29706","","","","","-80758","","","","","81657","","","","","118198","","","","","401472","","","","","-188262","","","","","-93897","","","","","449998","","","","","229617","","","","",
"Japan","JPN","Net migration","SM.POP.NETM","","","209163","","","","","878290","","","","","457099","","","","","45014","","","","","212063","","","","","-628168","","","","","451392","","","","","16977","","","","","622058","","","","","445267","","","","","350000","","","","",
"Kazakhstan","KAZ","Net migration","SM.POP.NETM","","","691681","","","","","173343","","","","","-55461","","","","","-313630","","","","","-398259","","","","","-656091","","","","","-1511745","","","","","-1324984","","","","","44530","","","","","-35196","","","","","159807","","","","",
"Kenya","KEN","Net migration","SM.POP.NETM","","","-20000","","","","","-19535","","","","","-17915","","","","","-2930","","","","","3805","","","","","5023","","","","","221569","","","","","-21386","","","","","25144","","","","","-189330","","","","","-50000","","","","",
"Kyrgyz Republic","KGZ","Net migration","SM.POP.NETM","","","116848","","","","","110071","","","","","34140","","","","","17954","","","","","-39988","","","","","-120200","","","","","-271590","","","","","-32705","","","","","-172911","","","","","-76604","","","","","-113963","","","","",
"Cambodia","KHM","Net migration","SM.POP.NETM","","","0","","","","","-225001","","","","","-125000","","","","","-84999","","","","","-88854","","","","","-78022","","","","","409414","","","","","348495","","","","","-35156","","","","","-295987","","","","","-149999","","","","",
"Kiribati","KIR","Net migration","SM.POP.NETM","","","-1219","","","","","-1274","","","","","-1500","","","","","-2576","","","","","-3112","","","","","-766","","","","","-4598","","","","","-2977","","","","","-2039","","","","","-578","","","","","-2130","","","","",
"St. Kitts and Nevis","KNA","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Net migration","SM.POP.NETM","","","-281388","","","","","-389118","","","","","-449729","","","","","-165179","","","","","317043","","","","","434981","","","","","-633048","","","","","-293082","","","","","229017","","","","","404715","","","","","300000","","","","",
"Kuwait","KWT","Net migration","SM.POP.NETM","","","153599","","","","","137534","","","","","109162","","","","","112656","","","","","95952","","","","","110759","","","","","-580898","","","","","98500","","","","","139000","","","","","522000","","","","","517500","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Net migration","SM.POP.NETM","","","-1205979","","","","","-1724440","","","","","-1955477","","","","","-2963799","","","","","-3265079","","","","","-3343434","","","","","-3247230","","","","","-4294365","","","","","-5387792","","","","","-2640776","","","","","-2159855","","","","",
"Lao PDR","LAO","Net migration","SM.POP.NETM","","","76","","","","","30","","","","","46","","","","","-198756","","","","","-35110","","","","","138","","","","","-45184","","","","","-131254","","","","","-175100","","","","","-117700","","","","","-117700","","","","",
"Lebanon","LBN","Net migration","SM.POP.NETM","","","20000","","","","","-70002","","","","","-10000","","","","","-270000","","","","","-214381","","","","","-228040","","","","","90000","","","","","-29428","","","","","550110","","","","","183370","","","","","1250000","","","","",
"Liberia","LBR","Net migration","SM.POP.NETM","","","7996","","","","","11013","","","","","10996","","","","","11949","","","","","0","","","","","-400000","","","","","-300000","","","","","450000","","","","","-50000","","","","","175585","","","","","-20000","","","","",
"Libya","LBY","Net migration","SM.POP.NETM","","","45891","","","","","48002","","","","","58665","","","","","57534","","","","","113380","","","","","5490","","","","","3965","","","","","8736","","","","","-11679","","","","","-82008","","","","","-501692","","","","",
"St. Lucia","LCA","Net migration","SM.POP.NETM","","","-9372","","","","","-7697","","","","","-9649","","","","","-8932","","","","","-8141","","","","","-4262","","","","","-4806","","","","","-948","","","","","-227","","","","","2850","","","","","40","","","","",
"Latin America & Caribbean","LCN","Net migration","SM.POP.NETM","","","-1400307","","","","","-2001834","","","","","-2220184","","","","","-3146290","","","","","-3443208","","","","","-3509490","","","","","-3239912","","","","","-4325806","","","","","-5546821","","","","","-2675725","","","","","-2081948","","","","",
"Least developed countries: UN classification","LDC","Net migration","SM.POP.NETM","","","-886867","","","","","-862527","","","","","-4824809","","","","","-4350241","","","","","-6377448","","","","","-3756203","","","","","1732313","","","","","-3862918","","","","","-4296546","","","","","-8375096","","","","","-4741314","","","","",
"Low income","LIC","Net migration","SM.POP.NETM","","","-510960","","","","","-63036","","","","","-1271457","","","","","-3163339","","","","","-5714429","","","","","-3088354","","","","","749912","","","","","-2112809","","","","","-983039","","","","","-2543110","","","","","-1115618","","","","",
"Liechtenstein","LIE","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Net migration","SM.POP.NETM","","","-47500","","","","","-38500","","","","","-145000","","","","","-237500","","","","","-395500","","","","","-137440","","","","","-255780","","","","","-461684","","","","","-449480","","","","","-520065","","","","","-484772","","","","",
"Lower middle income","LMC","Net migration","SM.POP.NETM","","","100180","","","","","-1858025","","","","","-2519524","","","","","-1846086","","","","","-1579249","","","","","-3343466","","","","","-5635256","","","","","-8651606","","","","","-14179486","","","","","-17104727","","","","","-15784815","","","","",
"Low & middle income","LMY","Net migration","SM.POP.NETM","","","-3826648","","","","","-4094255","","","","","-7032007","","","","","-8095133","","","","","-7150407","","","","","-8501035","","","","","-11472337","","","","","-14329437","","","","","-18714994","","","","","-22729859","","","","","-15350665","","","","",
"Lesotho","LSO","Net migration","SM.POP.NETM","","","-25000","","","","","-22400","","","","","-24048","","","","","-6538","","","","","-25760","","","","","-62682","","","","","-46345","","","","","-74427","","","","","-34493","","","","","-24418","","","","","-19998","","","","",
"Late-demographic dividend","LTE","Net migration","SM.POP.NETM","","","-2291864","","","","","-1635843","","","","","-2129860","","","","","-1739365","","","","","-969708","","","","","-1703926","","","","","-4814532","","","","","-2127648","","","","","-642281","","","","","927371","","","","","1194303","","","","",
"Lithuania","LTU","Net migration","SM.POP.NETM","","","24715","","","","","26314","","","","","37782","","","","","38815","","","","","43804","","","","","36863","","","","","-100301","","","","","-111160","","","","","-83738","","","","","-141659","","","","","-169529","","","","",
"Luxembourg","LUX","Net migration","SM.POP.NETM","","","8527","","","","","5918","","","","","15284","","","","","11846","","","","","2552","","","","","12831","","","","","20040","","","","","19940","","","","","14473","","","","","42279","","","","","48704","","","","",
"Latvia","LVA","Net migration","SM.POP.NETM","","","76276","","","","","69482","","","","","54668","","","","","41271","","","","","39884","","","","","42002","","","","","-135622","","","","","-39042","","","","","-82692","","","","","-86168","","","","","-73442","","","","",
"Macao SAR, China","MAC","Net migration","SM.POP.NETM","","","19802","","","","","36083","","","","","-7003","","","","","-6011","","","","","32747","","","","","37411","","","","","18844","","","","","20203","","","","","29866","","","","","56322","","","","","35000","","","","",
"St. Martin (French part)","MAF","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Net migration","SM.POP.NETM","","","-240922","","","","","-477753","","","","","-497677","","","","","-293328","","","","","-320659","","","","","-418575","","","","","-466627","","","","","-559380","","","","","-694821","","","","","-577912","","","","","-310624","","","","",
"Monaco","MCO","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Net migration","SM.POP.NETM","","","100890","","","","","74449","","","","","55824","","","","","-26414","","","","","-9185","","","","","-84531","","","","","-131953","","","","","-165309","","","","","-12079","","","","","-47911","","","","","-9529","","","","",
"Madagascar","MDG","Net migration","SM.POP.NETM","","","0","","","","","-8000","","","","","-19000","","","","","-30000","","","","","-8000","","","","","-8000","","","","","-7000","","","","","-6000","","","","","-5000","","","","","-5000","","","","","-5000","","","","",
"Maldives","MDV","Net migration","SM.POP.NETM","","","-581","","","","","-2904","","","","","2415","","","","","0","","","","","0","","","","","-2605","","","","","-3072","","","","","-1100","","","","","-105","","","","","-53","","","","","-53","","","","",
"Middle East & North Africa","MEA","Net migration","SM.POP.NETM","","","-299675","","","","","-731461","","","","","-651693","","","","","406941","","","","","2711242","","","","","906434","","","","","-1961791","","","","","18067","","","","","1045034","","","","","5031419","","","","","-213002","","","","",
"Mexico","MEX","Net migration","SM.POP.NETM","","","-411004","","","","","-620001","","","","","-899999","","","","","-1212001","","","","","-1519000","","","","","-1535834","","","","","-1302868","","","","","-1844707","","","","","-2841190","","","","","-409596","","","","","-523585","","","","",
"Marshall Islands","MHL","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Net migration","SM.POP.NETM","","","-3315688","","","","","-4031219","","","","","-5760550","","","","","-4931794","","","","","-1435978","","","","","-5412681","","","","","-12222249","","","","","-12216628","","","","","-17731955","","","","","-20186749","","","","","-14235047","","","","",
"Macedonia, FYR","MKD","Net migration","SM.POP.NETM","","","-40940","","","","","-28981","","","","","-61002","","","","","-14749","","","","","-72752","","","","","-98818","","","","","-133498","","","","","-4999","","","","","-15272","","","","","-4999","","","","","-4999","","","","",
"Mali","MLI","Net migration","SM.POP.NETM","","","-70243","","","","","-98235","","","","","-95585","","","","","-174998","","","","","-218064","","","","","-480652","","","","","-173489","","","","","-141950","","","","","-67110","","","","","-100823","","","","","-302449","","","","",
"Malta","MLT","Net migration","SM.POP.NETM","","","-26384","","","","","-12601","","","","","-9682","","","","","-4843","","","","","2880","","","","","1159","","","","","2893","","","","","4316","","","","","5760","","","","","13525","","","","","6252","","","","",
"Myanmar","MMR","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","-54656","","","","","-200000","","","","","-699993","","","","","-537998","","","","","-1372688","","","","","-1466799","","","","","-474278","","","","",
"Middle East & North Africa (excluding high income)","MNA","Net migration","SM.POP.NETM","","","-801516","","","","","-1178377","","","","","-1733109","","","","","-1303996","","","","","855807","","","","","-204318","","","","","-2219266","","","","","-752761","","","","","-1686956","","","","","-1442624","","","","","-3615666","","","","",
"Montenegro","MNE","Net migration","SM.POP.NETM","","","-2001","","","","","-53773","","","","","-2001","","","","","-7401","","","","","-2001","","","","","-29965","","","","","-20249","","","","","-21588","","","","","-7999","","","","","-3108","","","","","-2412","","","","",
"Mongolia","MNG","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","-88432","","","","","-52463","","","","","-15001","","","","","-15001","","","","","-15001","","","","",
"Northern Mariana Islands","MNP","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Net migration","SM.POP.NETM","","","-23500","","","","","-23500","","","","","-23500","","","","","87373","","","","","-373366","","","","","-1300000","","","","","650000","","","","","-50000","","","","","37504","","","","","-50000","","","","","-25000","","","","",
"Mauritania","MRT","Net migration","SM.POP.NETM","","","-1820","","","","","-2760","","","","","-5950","","","","","-9700","","","","","-16100","","","","","-30300","","","","","-14700","","","","","9900","","","","","30000","","","","","-20000","","","","","-20000","","","","",
"Mauritius","MUS","Net migration","SM.POP.NETM","","","-30869","","","","","-29156","","","","","-20463","","","","","-20617","","","","","-21632","","","","","-35977","","","","","-5611","","","","","-8858","","","","","-19372","","","","","-12079","","","","","0","","","","",
"Malawi","MWI","Net migration","SM.POP.NETM","","","-61928","","","","","-61928","","","","","-52404","","","","","-33348","","","","","-28605","","","","","913937","","","","","-899584","","","","","-36820","","","","","-36820","","","","","-36820","","","","","-30000","","","","",
"Malaysia","MYS","Net migration","SM.POP.NETM","","","80684","","","","","-18722","","","","","-31056","","","","","-6950","","","","","158020","","","","","435408","","","","","298812","","","","","397501","","","","","490830","","","","","652234","","","","","450000","","","","",
"North America","NAC","Net migration","SM.POP.NETM","","","1136723","","","","","2103693","","","","","3612021","","","","","4310838","","","","","3655389","","","","","4561110","","","","","5267705","","","","","9453948","","","","","6175859","","","","","6300158","","","","","6183750","","","","",
"Namibia","NAM","Net migration","SM.POP.NETM","","","0","","","","","-870","","","","","-2825","","","","","-44585","","","","","-29139","","","","","74791","","","","","23492","","","","","35497","","","","","-50000","","","","","-50000","","","","","-1371","","","","",
"New Caledonia","NCL","Net migration","SM.POP.NETM","","","3347","","","","","1106","","","","","6442","","","","","-1222","","","","","-2085","","","","","475","","","","","4778","","","","","5571","","","","","4771","","","","","4234","","","","","5660","","","","",
"Niger","NER","Net migration","SM.POP.NETM","","","-11545","","","","","-11545","","","","","-13763","","","","","-18138","","","","","-92946","","","","","-91917","","","","","-2679","","","","","24056","","","","","-28497","","","","","-28497","","","","","-28497","","","","",
"Nigeria","NGA","Net migration","SM.POP.NETM","","","1021","","","","","-43347","","","","","-38526","","","","","854649","","","","","-671640","","","","","-91407","","","","","-95769","","","","","-95027","","","","","-170000","","","","","-300000","","","","","-300000","","","","",
"Nicaragua","NIC","Net migration","SM.POP.NETM","","","-14003","","","","","-18997","","","","","-37999","","","","","-58001","","","","","-110002","","","","","-150001","","","","","-120001","","","","","-145000","","","","","-173998","","","","","-155000","","","","","-135000","","","","",
"Netherlands","NLD","Net migration","SM.POP.NETM","","","11589","","","","","54636","","","","","179460","","","","","180718","","","","","79525","","","","","133845","","","","","220083","","","","","153553","","","","","144620","","","","","55674","","","","","110006","","","","",
"Norway","NOR","Net migration","SM.POP.NETM","","","-2274","","","","","13867","","","","","29273","","","","","20728","","","","","24805","","","","","38715","","","","","46903","","","","","58773","","","","","67400","","","","","174001","","","","","235665","","","","",
"Nepal","NPL","Net migration","SM.POP.NETM","","","-70000","","","","","-21075","","","","","-5799","","","","","-41002","","","","","-101147","","","","","-216407","","","","","76064","","","","","-464703","","","","","-922843","","","","","-1023896","","","","","-372369","","","","",
"Nauru","NRU","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Zealand","NZL","Net migration","SM.POP.NETM","","","42751","","","","","-2624","","","","","76678","","","","","-74794","","","","","-2908","","","","","-9418","","","","","118016","","","","","42584","","","","","134629","","","","","62413","","","","","7265","","","","",
"OECD members","OED","Net migration","SM.POP.NETM","","","2531631","","","","","2664622","","","","","5119370","","","","","4356805","","","","","3526638","","","","","5681741","","","","","10140443","","","","","11452785","","","","","12775444","","","","","15773864","","","","","13138424","","","","",
"Oman","OMN","Net migration","SM.POP.NETM","","","-10000","","","","","-5000","","","","","25470","","","","","76409","","","","","81500","","","","","11169","","","","","93700","","","","","-207887","","","","","40452","","","","","185500","","","","","1211000","","","","",
"Other small states","OSS","Net migration","SM.POP.NETM","","","-102880","","","","","-40167","","","","","-26137","","","","","-33719","","","","","62757","","","","","155225","","","","","-298858","","","","","-127911","","","","","222163","","","","","987643","","","","","332029","","","","",
"Pakistan","PAK","Net migration","SM.POP.NETM","","","-93268","","","","","-209978","","","","","-138106","","","","","700000","","","","","1345233","","","","","139790","","","","","-1128724","","","","","-728632","","","","","-896486","","","","","-1296372","","","","","-1081918","","","","",
"Panama","PAN","Net migration","SM.POP.NETM","","","-11928","","","","","-12692","","","","","-12288","","","","","-14077","","","","","-12704","","","","","-9395","","","","","1954","","","","","9797","","","","","16119","","","","","22244","","","","","28105","","","","",
"Peru","PER","Net migration","SM.POP.NETM","","","-30000","","","","","-50003","","","","","-87999","","","","","-98998","","","","","-117998","","","","","-185001","","","","","-293999","","","","","-540001","","","","","-634999","","","","","-489999","","","","","-240000","","","","",
"Philippines","PHL","Net migration","SM.POP.NETM","","","364","","","","","-271845","","","","","-237734","","","","","-313636","","","","","-176673","","","","","-298756","","","","","-504878","","","","","-765620","","","","","-1097371","","","","","-1829034","","","","","-700000","","","","",
"Palau","PLW","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Net migration","SM.POP.NETM","","","-4317","","","","","2993","","","","","-7352","","","","","-8243","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","",
"Poland","POL","Net migration","SM.POP.NETM","","","-10196","","","","","-143114","","","","","-170903","","","","","-106595","","","","","-81891","","","","","-458986","","","","","-240502","","","","","-243932","","","","","38050","","","","","5235","","","","","-73809","","","","",
"Pre-demographic dividend","PRE","Net migration","SM.POP.NETM","","","-173453","","","","","88665","","","","","-836285","","","","","406039","","","","","-5748651","","","","","-4139787","","","","","2656522","","","","","-3020049","","","","","-548701","","","","","-2798921","","","","","-891831","","","","",
"Puerto Rico","PRI","Net migration","SM.POP.NETM","","","-91587","","","","","-134255","","","","","-41031","","","","","-19579","","","","","-48420","","","","","-55192","","","","","-296","","","","","-30450","","","","","-145704","","","","","-138043","","","","","-103537","","","","",
"Korea, Dem. People’s Rep.","PRK","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","",
"Portugal","PRT","Net migration","SM.POP.NETM","","","-547884","","","","","-701600","","","","","108187","","","","","198629","","","","","-66894","","","","","-147873","","","","","149122","","","","","173604","","","","","178353","","","","","127025","","","","","-140000","","","","",
"Paraguay","PRY","Net migration","SM.POP.NETM","","","-70580","","","","","-65825","","","","","-58830","","","","","-46331","","","","","-21209","","","","","-17242","","","","","-31049","","","","","-43861","","","","","-46919","","","","","-117299","","","","","-86700","","","","",
"West Bank and Gaza","PSE","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","","","","","70000","","","","","-190000","","","","","-90000","","","","","-43750","","","","",
"Pacific island small states","PSS","Net migration","SM.POP.NETM","","","2297","","","","","-17349","","","","","-39393","","","","","-48858","","","","","-48025","","","","","-104291","","","","","-68700","","","","","-92620","","","","","-105941","","","","","-75792","","","","","-71075","","","","",
"Post-demographic dividend","PST","Net migration","SM.POP.NETM","","","3354009","","","","","3544112","","","","","6275958","","","","","6160968","","","","","5512813","","","","","7898606","","","","","10607152","","","","","13029889","","","","","15351199","","","","","16128162","","","","","12324314","","","","",
"French Polynesia","PYF","Net migration","SM.POP.NETM","","","3190","","","","","3344","","","","","4388","","","","","3844","","","","","3650","","","","","241","","","","","-4324","","","","","3483","","","","","77","","","","","-3463","","","","","-500","","","","",
"Qatar","QAT","Net migration","SM.POP.NETM","","","16337","","","","","20912","","","","","34368","","","","","28315","","","","","102097","","","","","57517","","","","","-22453","","","","","42840","","","","","185343","","","","","854839","","","","","363500","","","","",
"Romania","ROU","Net migration","SM.POP.NETM","","","-2001","","","","","-2001","","","","","-2001","","","","","-99999","","","","","-200000","","","","","-200000","","","","","-520001","","","","","-610000","","","","","-490472","","","","","-874406","","","","","-437201","","","","",
"Russian Federation","RUS","Net migration","SM.POP.NETM","","","-1394343","","","","","-550619","","","","","-290289","","","","","639801","","","","","1107000","","","","","906615","","","","","2519717","","","","","2308220","","","","","1735324","","","","","2157349","","","","","1117884","","","","",
"Rwanda","RWA","Net migration","SM.POP.NETM","","","-140001","","","","","20000","","","","","-20000","","","","","-20000","","","","","-50002","","","","","29999","","","","","-1347866","","","","","1210134","","","","","-72601","","","","","-75001","","","","","-75001","","","","",
"South Asia","SAS","Net migration","SM.POP.NETM","","","-454109","","","","","-689461","","","","","-1196421","","","","","-650272","","","","","-2923138","","","","","-1873468","","","","","-701580","","","","","-3508471","","","","","-5336232","","","","","-9901386","","","","","-6280804","","","","",
"Saudi Arabia","SAU","Net migration","SM.POP.NETM","","","125989","","","","","187007","","","","","491874","","","","","995676","","","","","1391626","","","","","590900","","","","","-25000","","","","","60187","","","","","945000","","","","","815000","","","","","850000","","","","",
"Sudan","SDN","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","20000","","","","","180000","","","","","220000","","","","","150000","","","","","1350000","","","","","-490000","","","","","-430000","","","","","-500000","","","","","-800000","","","","",
"Senegal","SEN","Net migration","SM.POP.NETM","","","50002","","","","","86522","","","","","65586","","","","","-134783","","","","","-85108","","","","","-60291","","","","","-70008","","","","","-209864","","","","","-151131","","","","","-166051","","","","","-99996","","","","",
"Singapore","SGP","Net migration","SM.POP.NETM","","","428","","","","","-363","","","","","5889","","","","","14266","","","","","137811","","","","","119801","","","","","248927","","","","","255243","","","","","435595","","","","","449245","","","","","397936","","","","",
"Solomon Islands","SLB","Net migration","SM.POP.NETM","","","2348","","","","","2188","","","","","2118","","","","","182","","","","","-1","","","","","-1832","","","","","-971","","","","","-677","","","","","-4898","","","","","-11896","","","","","-11868","","","","",
"Sierra Leone","SLE","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","62745","","","","","-450000","","","","","-150000","","","","","500000","","","","","60000","","","","","-21000","","","","",
"El Salvador","SLV","Net migration","SM.POP.NETM","","","-24031","","","","","-44306","","","","","-90977","","","","","-164230","","","","","-231749","","","","","-256685","","","","","-265152","","","","","-326853","","","","","-312786","","","","","-285671","","","","","-240415","","","","",
"San Marino","SMR","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Net migration","SM.POP.NETM","","","-1046","","","","","1489","","","","","-6","","","","","1587565","","","","","-832045","","","","","-632286","","","","","-893365","","","","","-100004","","","","","-200000","","","","","-350000","","","","","-400000","","","","",
"Serbia","SRB","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178348","","","","","-546911","","","","","-276331","","","","","-38215","","","","","-99999","","","","",
"Sub-Saharan Africa (excluding high income)","SSA","Net migration","SM.POP.NETM","","","-288738","","","","","-144767","","","","","-939629","","","","","-1062494","","","","","-1529816","","","","","-1283029","","","","","1225356","","","","","-1602235","","","","","-534812","","","","","-495696","","","","","-1687443","","","","",
"South Sudan","SSD","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","25000","","","","","60000","","","","","150000","","","","","-405000","","","","","-1076000","","","","","400000","","","","","432000","","","","","785000","","","","","865000","","","","",
"Sub-Saharan Africa","SSF","Net migration","SM.POP.NETM","","","-289589","","","","","-145765","","","","","-939399","","","","","-1062694","","","","","-1532915","","","","","-1288324","","","","","1225981","","","","","-1602370","","","","","-532299","","","","","-496807","","","","","-1688994","","","","",
"Small states","SST","Net migration","SM.POP.NETM","","","-348492","","","","","-373946","","","","","-354903","","","","","-367109","","","","","-288354","","","","","-337059","","","","","-617160","","","","","-402135","","","","","-58429","","","","","784242","","","","","136832","","","","",
"Sao Tome and Principe","STP","Net migration","SM.POP.NETM","","","-9152","","","","","-744","","","","","-2509","","","","","-1221","","","","","-5999","","","","","-5999","","","","","-5599","","","","","-8293","","","","","-5599","","","","","-5599","","","","","-5599","","","","",
"Suriname","SUR","Net migration","SM.POP.NETM","","","-11050","","","","","-13862","","","","","-56820","","","","","-40352","","","","","-31771","","","","","-4845","","","","","-3342","","","","","-2402","","","","","-22142","","","","","-5675","","","","","-5000","","","","",
"Slovak Republic","SVK","Net migration","SM.POP.NETM","","","-26427","","","","","-57838","","","","","-15254","","","","","-9696","","","","","-34777","","","","","-35312","","","","","-15108","","","","","-2964","","","","","1199","","","","","9597","","","","","1199","","","","",
"Slovenia","SVN","Net migration","SM.POP.NETM","","","-22059","","","","","-14950","","","","","17942","","","","","34686","","","","","68363","","","","","32609","","","","","-17461","","","","","1487","","","","","14998","","","","","49624","","","","","4324","","","","",
"Sweden","SWE","Net migration","SM.POP.NETM","","","80351","","","","","130980","","","","","18798","","","","","88567","","","","","29799","","","","","134569","","","","","156460","","","","","58470","","","","","141723","","","","","262453","","","","","272626","","","","",
"Swaziland","SWZ","Net migration","SM.POP.NETM","","","-9908","","","","","-9472","","","","","-7872","","","","","-9472","","","","","-14496","","","","","17149","","","","","-38243","","","","","-12000","","","","","-46077","","","","","-6000","","","","","-6000","","","","",
"Sint Maarten (Dutch part)","SXM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Net migration","SM.POP.NETM","","","-851","","","","","-998","","","","","230","","","","","-200","","","","","-3099","","","","","-5295","","","","","625","","","","","-135","","","","","2513","","","","","-1111","","","","","-1551","","","","",
"Syrian Arab Republic","SYR","Net migration","SM.POP.NETM","","","-16000","","","","","-16000","","","","","-81501","","","","","-161672","","","","","-87001","","","","","-146501","","","","","-70000","","","","","-130000","","","","","-379910","","","","","370000","","","","","-4029996","","","","",
"Turks and Caicos Islands","TCA","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Net migration","SM.POP.NETM","","","-5000","","","","","-40950","","","","","-49050","","","","","-175500","","","","","-131245","","","","","1418","","","","","-10374","","","","","69444","","","","","218966","","","","","70000","","","","","100000","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Net migration","SM.POP.NETM","","","-1086544","","","","","-582028","","","","","-1239154","","","","","-1912183","","","","","-525665","","","","","-390019","","","","","-3110397","","","","","-1362174","","","","","-4975250","","","","","-8308340","","","","","-3728059","","","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Net migration","SM.POP.NETM","","","1896","","","","","80479","","","","","-157523","","","","","-290303","","","","","209962","","","","","-1839608","","","","","-3803301","","","","","-3241492","","","","","-758482","","","","","41666","","","","","2027353","","","","",
"Togo","TGO","Net migration","SM.POP.NETM","","","-77885","","","","","138923","","","","","-49999","","","","","-100000","","","","","50001","","","","","-20000","","","","","-95003","","","","","-30000","","","","","-9994","","","","","-9994","","","","","-9994","","","","",
"Thailand","THA","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","402578","","","","","287226","","","","","341913","","","","","513675","","","","","-807534","","","","","695804","","","","","1102862","","","","","-858537","","","","","100000","","","","",
"Tajikistan","TJK","Net migration","SM.POP.NETM","","","77739","","","","","34640","","","","","28954","","","","","-5749","","","","","-21870","","","","","-37962","","","","","-289263","","","","","-324793","","","","","-96542","","","","","-65435","","","","","-117382","","","","",
"Turkmenistan","TKM","Net migration","SM.POP.NETM","","","36261","","","","","36429","","","","","31549","","","","","16341","","","","","-25116","","","","","-34319","","","","","43633","","","","","-60324","","","","","-114454","","","","","-57048","","","","","-25001","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Net migration","SM.POP.NETM","","","-1100369","","","","","-1614223","","","","","-1985477","","","","","-2949147","","","","","-3105502","","","","","-3348226","","","","","-3114035","","","","","-4112852","","","","","-5261446","","","","","-2368828","","","","","-1913623","","","","",
"Timor-Leste","TLS","Net migration","SM.POP.NETM","","","670","","","","","864","","","","","2242","","","","","-93784","","","","","10300","","","","","-4850","","","","","-4186","","","","","-156056","","","","","12","","","","","-104946","","","","","-50004","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Net migration","SM.POP.NETM","","","-723877","","","","","-894743","","","","","-1700859","","","","","-1220296","","","","","917257","","","","","-164968","","","","","-2254266","","","","","-822761","","","","","-1496956","","","","","-1352624","","","","","-3571916","","","","",
