"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Brazil","BRA","Net migration","SM.POP.NETM","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","0","","","","","15924","","","","",
"Barbados","BRB","Net migration","SM.POP.NETM","","","-15903","","","","","-11880","","","","","-5433","","","","","-3595","","","","","-5589","","","","","-4077","","","","","-3263","","","","","-1323","","","","","-77","","","","","2050","","","","","2180","","","","",
"Brunei Darussalam","BRN","Net migration","SM.POP.NETM","","","5209","","","","","10747","","","","","8005","","","","","5624","","","","","1827","","","","","243","","","","","1346","","","","","1852","","","","","2294","","","","","2441","","","","","2102","","","","",
"Bhutan","BTN","Net migration","SM.POP.NETM","","","5000","","","","","10000","","","","","20000","","","","","15000","","","","","797","","","","","1595","","","","","-85887","","","","","143","","","","","34976","","","","","16829","","","","","10000","","","","",
"Botswana","BWA","Net migration","SM.POP.NETM","","","-15000","","","","","-6020","","","","","2326","","","","","14845","","","","","601","","","","","5803","","","","","17864","","","","","24546","","","","","21278","","","","","18730","","","","","20000","","","","",
"Central African Republic","CAF","Net migration","SM.POP.NETM","","","11930","","","","","13145","","","","","-20075","","","","","-1000","","","","","40165","","","","","-40982","","","","","37392","","","","","11293","","","","","-45000","","","","","5000","","","","","10000","","","","",
"Canada","CAN","Net migration","SM.POP.NETM","","","178066","","","","","608528","","","","","771526","","","","","438027","","","","","376129","","","","","875013","","","","","698764","","","","","761611","","","","","1026702","","","","","1229905","","","","","1175863","","","","",
"Central Europe and the Baltics","CEB","Net migration","SM.POP.NETM","","","112936","","","","","-227571","","","","","-104933","","","","","-85960","","","","","-279101","","","","","-819390","","","","","-1514119","","","","","-1176975","","","","","-593078","","","","","-811784","","","","","-770310","","","","",
"Switzerland","CHE","Net migration","SM.POP.NETM","","","276181","","","","","92978","","","","","25185","","","","","-135365","","","","","81040","","","","","130857","","","","","247406","","","","","65218","","","","","186125","","","","","344872","","","","","382267","","","","",
"Channel Islands","CHI","Net migration","SM.POP.NETM","","","2934","","","","","3880","","","","","4250","","","","","1726","","","","","5380","","","","","6085","","","","","2120","","","","","3778","","","","","4592","","","","","4479","","","","","3654","","","","",
"Chile","CHL","Net migration","SM.POP.NETM","","","-33751","","","","","-42595","","","","","-51769","","","","","-50998","","","","","-37305","","","","","7909","","","","","62545","","","","","71640","","","","","93789","","","","","139345","","","","","201289","","","","",
"China","CHN","Net migration","SM.POP.NETM","","","-1058832","","","","","-12737","","","","","-1113125","","","","","-428313","","","","","-258072","","","","","-154256","","","","","-823657","","","","","-507000","","","","","-2144051","","","","","-2202103","","","","","-1800000","","","","",
